Password,Label
123456,Weak
12345678,Weak
1234,Weak
qwerty,Weak
12345,Weak
dragon,Weak
pussy,Weak
baseball,Weak
football,Weak
letmein,Weak
monkey,Weak
696969,Weak
abc123,Weak
mustang,Weak
michael,Weak
shadow,Weak
master,Weak
jennifer,Weak
111111,Weak
2000,Weak
jordan,Weak
superman,Weak
harley,Weak
1234567,Weak
fuckme,Weak
hunter,Weak
fuckyou,Weak
trustno1,Weak
ranger,Weak
buster,Weak
thomas,Weak
tigger,Weak
robert,Weak
soccer,Weak
fuck,Weak
batman,Weak
test,Weak
pass,Weak
killer,Weak
hockey,Weak
george,Weak
charlie,Weak
andrew,Weak
michelle,Weak
love,Weak
sunshine,Weak
jessica,Weak
asshole,Weak
6969,Weak
pepper,Weak
daniel,Weak
access,Weak
123456789,Weak
654321,Weak
joshua,Weak
maggie,Weak
starwars,Weak
silver,Weak
william,Weak
dallas,Weak
yankees,Weak
123123,Weak
ashley,Weak
666666,Weak
hello,Weak
amanda,Weak
orange,Weak
biteme,Weak
freedom,Weak
computer,Weak
sexy,Weak
thunder,Weak
nicole,Weak
ginger,Weak
heather,Weak
hammer,Weak
summer,Weak
corvette,Weak
taylor,Weak
fucker,Weak
austin,Weak
1111,Weak
merlin,Weak
matthew,Weak
121212,Weak
golfer,Weak
cheese,Weak
princess,Weak
martin,Weak
chelsea,Weak
patrick,Weak
richard,Weak
diamond,Weak
yellow,Weak
bigdog,Weak
secret,Weak
asdfgh,Weak
sparky,Weak
cowboy,Weak
camaro,Weak
anthony,Weak
matrix,Weak
falcon,Weak
iloveyou,Weak
bailey,Weak
guitar,Weak
jackson,Weak
purple,Weak
scooter,Weak
phoenix,Weak
aaaaaa,Weak
morgan,Weak
tigers,Weak
porsche,Weak
mickey,Weak
maverick,Weak
cookie,Weak
nascar,Weak
peanut,Weak
justin,Weak
131313,Weak
money,Weak
horny,Weak
samantha,Weak
panties,Weak
steelers,Weak
joseph,Weak
snoopy,Weak
boomer,Weak
whatever,Weak
iceman,Weak
smokey,Weak
gateway,Weak
dakota,Weak
cowboys,Weak
eagles,Weak
